Original ID,Question Text,Answer,Notes/Comment,identifier
3.3,What technology languages/platforms/stacks/components are utilized in the scope of the application? (AWS? MySQL? Ruby on Rails? Go? Javascript?),"""ClientABC"" database, Java, JavaScript, GO. Cloud infrastructure is provided by AWS, Azure, and GCP.  Cluster nodes run CentOS and host the ""ClientABC"" database. ""ClientABC""  is written in Java, JavaScript, and Go.
",,527c246f-dc2e-4873-a1d3-64a8ce1dda1b
4.1,"Is your service run from your own:
- A. Data Center
- B. The Cloud
- C. Deployed-On Premise Only
- Not Applicable",B. The Cloud,,909e4666-14a8-4a3f-8122-3f978c32caab
4.2,Data Centre Location(s) (relative to services provided),"""ClientABC""  is available within the Amazon Web Services (AWS), Google Cloud Platform (GCP), and Microsoft Azure cloud platforms. Additionally, users can choose from up to over 70 cloud regions to host their databases (Northeast, West, Southeast, Canada, etc.).
",,9fd246fc-5ece-45e2-a0f8-9c34e6f3a8a9
4.3,Which cloud providers do you rely on?,"Our data centers are hosted on the cloud via AWS, GCP, and Azure.",,9e7ff978-612d-40d2-a18d-059389e820bb
4.4,Have you researched your cloud providers best security practices?,Yes,,a0aa89b4-8bd4-4b8d-a887-8d3d68da63c3
4.5,Which data centers/countries/geographies are you deployed in?,"""ClientABC""  is available within the Amazon Web Services (AWS), Google Cloud Platform (GCP), and Microsoft Azure cloud platforms.",,028af390-363d-476a-aaaa-7d4664355715
4.6,On-premise solution only,No,"""ClientABC"" Database as a Service.
",7deab8d2-2026-4da8-a45c-85f6c1060ff2
5.1,Most recent Application Code Review or Penetration Testing Reports (carried out by independent third party),You will be able to upload a file for this question through Whistic after importing.,,3160d2ad-f098-496c-927d-f42d4e0b0f2c
5.2,Does the penetration test follow an industry approved methodology:,Yes,,3d67654e-4c18-4482-9005-a2ec8902af4f
5.3,Information Security Policies and Procedures,You will be able to upload a file for this question through Whistic after importing.,,525721cb-0085-44b6-a4dd-118aa8a8c71a
5.4,Data Flow Diagram,You will be able to upload a file for this question through Whistic after importing.,,43859048-4baf-45ab-bd62-52ec09917210
5.5,Any other Documents supporting your responses in this questionnaire (Please provide a description for each document).,You will be able to upload a file for this question through Whistic after importing.,,e5f20370-8c0a-4da7-af1d-8aa4934701a6
5.6,"PCI, SOC2 type II or ISO27001 certification reports",You will be able to upload a file for this question through Whistic after importing.,,b13fbea1-35e2-48f8-8f38-7060c0dfcd4c
5.7,Other Independent Audit report (please provide details),You will be able to upload a file for this question through Whistic after importing.,,fa547d68-33f3-4114-abaf-d9df8d0bcb3b
6.1,"Please describe the company/user data you require to provide your service:
- A. Personal Information
- B. Financial Data
- C. Confidential/Sensitive Data
- D. Government Data
- Not Applicable",A. Personal Information,"We collect basic PII i.e. First name, Last name, Email address, IP address, device identifier, or other persistent identifier, Phone number, Fax number. 
",9f66bb47-0958-42ac-bda3-547b437535cb
7.1,"Do you encrypt customer data? If so, please upload relevant documentation and describe how you encrypt customer data.",Yes,"All data in transit is encrypted using TLS 1.2 or higher and all data at rest is encrypted using AES-256.
",599957a7-c975-4fe8-b880-714a204969dc
8.1,Describe how your organization decides who does and does not have access to sensitive data,"""ClientABC""’s policies and procedures regarding access to ""ClientABC"" Systems adhere to the principles of role-based access control (RBAC), least privilege, and separation of duties.
",,ce1d3c66-92fa-4ebd-9a52-3c8ac6f9022b
8.2,Do you have capabilities to anonymize data?,Yes,,c2e755a3-724e-482a-bb4b-64e678de163b
8.3,How is data anonymization implemented?,"We may create anonymous data records from Personal Data by excluding information (such as your name and IP address) that makes the data personally identifiable to you.
",,58fc6f4e-e722-4bed-9577-e800cc69a62d
8.5,"Please describe your general rules management in relation to role provisioning, deprovisioning, and recertification.","Manual process, all provisioning/deprovisioning is recorded in our ticketing system. User roles and permission are managed manually, on a need-to-know basis and following the least privilege method.
",,eca26b30-8029-4b5c-b885-3f4f38bc181b
8.6,Which groups of staff (individual contractors and full-time) have access to personal and sensitive data handed to you?,"Only privileged users have access. Additionally, access is granted based on the principle of least privilege.

",,54840144-4c98-4d96-91ba-72f9913f3ea3
8.7,"Do you keep sensitive data (as defined by your data classification matrix) in hard copy (e.g. paper copies)? If so, please describe.",Yes,"There is a small range of paper-based information assets in use within ""ClientABC"", including ""ClientABC"" contracts, legal and procurement forms, general working information (printed documents, e-mails etc.). Paper information (e.g customer contracts) are generally retained and eventually shredded at the end of their retention period in a secure manner.
",2edcd9f8-e811-40d0-a072-2ffe05bea75c
8.8,Do you have a procedure for securely destroying hard copy sensitive data?,Yes,,383b9bfe-42ca-4e93-8965-c46e54d0fb7a
8.9,Do you support secure deletion (e.g. degaussing/cryptographic wiping) of archived or backed-up data?,Yes,,502ffb1a-77ad-42ee-a223-013c675b6d8d
8.1,Describe the circumstances in which customer data is allowed leave your production systems?,"Customer data is never allowed to leave production systems. Customer data always resides in the production environment in an encrypted manner.
",,e6d5bce3-a631-4aa6-ba7d-398edf655a18
9.1,Do you have an internal password policy?,Yes,,48646d5e-c6cf-4502-957a-b5b3095fad69
9.2,Do you have complexity or length requirements for passwords?,Yes,"Passwords must be at least eight characters, including at least one lower case letter, upper case letter, number, and symbol.
",f63788a3-1ba3-4095-bda9-32e38cebd156
9.3,"Do you hash passwords? If so, please describe how passwords are hashed.",Yes,"User credentials for the ""ClientABC""  UI are stored using industry standard and audited one-way hashes.
",6f60b194-2ece-462c-b3cf-6751cf08e01a
9.4,Do employees/contractors have ability to remotely connect to your production systems? (i.e. VPN),Yes,"An encrypted VPN is utilized for remote access to help ensure the privacy and integrity of the data passing over the public network.
",65ce60ae-4f60-444a-afed-a22de722dcfa
9.5,Is MFA required for employees/contractors to log in to production systems?,Yes,,f3773b13-10f1-4545-b2b9-40aaf09e6132
9.6,Do internal applications leverage SSO for authentication?,Yes,,bc1197ad-af63-4b99-937b-38ec8bcb5728
10.1,"Do processors (vendors) access your customer's information? If so, please list the processors (vendors) who access your customer's information.",Yes,"
",524c7279-09b4-4598-9a00-781c74db95e4
10.2,Do these processors (vendors) contractually comply with your security standards for data processing?,Yes,,035c94d5-98d4-43b0-aab7-03b410a80e5f
10.3,Do you regularly audit your critical vendors?,Yes,,71d76c5f-265a-4eb2-a984-4dc9c3827686
11.1,"(Only applicable if your company/data centers are based in the US) For the provision of services, do you process EU citizens' personal data?",Yes,,d1fb2fea-55d8-4c3f-8a9f-e3a5174204a1
11.2,"Are you currently Privacy Shield certified? If so, please link to your certification.",No,,e5758c44-1aa2-4e1a-a70e-8d28c9e6783f
11.3,Have you appointed a Data Protection Officer (DPO)?,Yes,"We have a data protection officer (currently Murray Gregorson). Our data protection officer (DPO) is responsible for the protection and privacy of the data.
",474372f1-c6ce-4c72-8e56-eafd931224f4
11.4,Do you plan on being Privacy Shield certified withing the next 12 months?,No,,d33ef73c-cac5-40ba-b775-f7b834c0bc01
12.1,Do you have a formal Information Security Program (InfoSec SP) in place?,Yes,,be834476-782a-4af5-9aca-351f0d1507d1
12.2,Do you review your Information Security Policies at least once a year?,Yes,,0f09ba9e-eddb-440d-8c00-9e313c1e5ba9
12.3,Do you have a Information security risk management program (InfoSec RMP)?,Yes,,9148d949-5e10-4502-b756-f88202014ad9
12.4,Do you have management support or a security management forum to evaluate and take action on security risks?,Yes,,cfa4ac9a-717d-4aef-8c6e-6e48fc706abc
12.5,"Do you have a dedicated information security team? If so, what is the composition and reporting structure?",Yes,"""ClientABC""’s Information Security Program is maintained by a dedicated security team, led by our Chief Information Security Officer. In addition, there are clearly defined roles and responsibilities, including the designation of a security incident task force.
",d1e64ef7-188b-4078-ab9b-8d084819d471
13.1,"Do your information security and privacy policies align with industry standards (ISO-27001, NIST Cyber Security Framework, ISO-22307, CoBIT, etc.)?",Yes,"""ClientABC"" maintains an established Security Incident Response Plan that aligns with NIST and ISO/IEC 27001:2013.
",020c5a25-12ae-4ca9-bb66-1948a668a8a9
13.2,Do you have a policy exception process?,Yes,,742aa165-019c-457c-ae68-4f96fa3c3341
13.3,Is a formal disciplinary or sanction policy established for employees who have violated security policies and procedures?,Yes,"""ClientABC"" has formal process disciplinary policy for personnel who have violated corporate policies. These processes are documented in the employee handbook and related HR documentation. Personnel who violate corporate policies and procedures are subject to disciplinary action up to and including termination.
",26c74493-ba0c-4d0a-9d0f-13cf605d87a1
14.1,"Are all employment candidates, contractors and involved third parties subject to background verification (as allowed by local laws, regulations, ethics and contractual constraints)?",Yes,"Before an employee’s start date, Human Resources performs identity, employment, and education verification as well as multi-residence criminal background and government sanctions checks on all prospective employees to the extent allowable by local laws.
",9224bcb6-1bc1-487b-adb8-cc0635f241f2
15.1,"Are all personnel required to sign Confidentiality Agreements to protect customer information, as a condition of employment?",Yes,"All employees and contingent workers to execute NDA or other confidentiality agreements.
",6f516dea-2867-4fea-83ec-dccdc677bb40
16.1,Are all personnel required to sign an Acceptable Use Policy? Please attach,Yes,,f254e92b-0e47-452c-872e-da132b5c841f
17.1,Are documented procedures followed to govern change in employment and/or termination including for timely revocation of access and return of assets?,Yes,"Upon termination of contract or business relationship, employees and business partners are adequately informed of their obligations for returning organizationally-owned assets. We have asset return procedures outlining how assets should be returned within an established period.
",bb9f2e28-5690-40eb-971e-b3055af3adf0
18.1,"How is your network security testing performed? 
- A. Internal
- B. Third parties
- C. Both? If so, what is the cadence? Explain your methodology",B.Third Parties,"Our ""ClientABC""  production environment is subject to an external penetration test by a nationally recognized security firm at least once per calendar year. Upon request, we will provide you with a summary letter of engagement that includes the number of high, medium, and low issues identified.
",afa9f3db-4153-4bb7-8632-12e992cc7479
18.2,"How is your application security testing performed?
- A. Internal
- B. Third parties
- C. Both? If so, what is the cadence? Explain your methodology",A. Internal; B. Thrid Parties,"""ClientABC"" utilizes Veracode for dynamic and static application security testing. Coverity and Snyk are also used for static testing.
",f956017c-fac1-44d9-94a0-b56d20dfad03
19.1,"Do you have network vulnerability management processes and procedures? If so, please summarise or attach your network vulnerability management processes and procedures.",Yes,"""ClientABC"" maintains a documented vulnerability enumeration and management program that identifies internet-accessible company assets, scans for known vulnerabilities, evaluates risk, and tracks issue remediation. We conduct quarterly scans of both the underlying systems upon which ""ClientABC""  is hosted, as well as all third-party code integrated into our products. ""ClientABC""’s vulnerability management policy requires individual engineering teams to identify known vulnerabilities in system components, and develop remediation timeframes commensurate to the severity of an identified issue. We also utilize automated tooling in conjunction with monitoring security bulletins for relevant software and libraries, and implement patches if security issues are discovered.
",e2eb95a2-c712-40a7-b992-70d517cdfec8
19.2,"Do you have a timeframe for patching critical vulnerabilities? If so, please describe your timeframe for patching critical vulnerabilities.",Yes,"The timeframe for patching a vulnerability is commensurate with its CVSS score. For example, our Vulnerability Management policy requires Critical severity vulnerabilities to be patched or remediated within a maximum of 24 hours.
",23c6e629-6e8c-4129-8aff-6ab4f2f8c975
19.3,"Do you use tools for vulnerability managment? If so, please describe the tools you use for vulnerability managment.",Yes,"""ClientABC"" uses Nessus to perform cyber vulnerability scans.
",2b160c78-4c6e-4e7c-8298-e766c12c2167
19.4,"Do you have application vulnerability management processes and procedures? If so, please summarise or attach your application vulnerability management processes and procedures.",Yes,,aec79ea7-9f78-40e0-8a53-1e1d37e0023a
19.5,"Do you use tools for application vulnerability management? If so, please detail the tools you use for application vulnerability management.","We do not have a bug bounty program at this time, however, we do have a coordinated disclosure program. ","""ClientABC"" utilizes sian JIRA tickets to prioritize bugs and tracking in an agile framework.
",a08760da-3eda-433a-bd7e-ad2b21765181
19.6,Do you regularly evaluate patches and updates for your infrastructure?,Yes,,c117f0ab-28b4-4f91-b7a4-3c52eece0e47
19.7,Do you publish a path for responisble disclosure of security vulnerabilities (ie security@ or /security)?,Yes,,45b4e47a-7d5e-4ded-a106-01bb6ddc113b
19.8,Do you have an established bug bounty program?,No,"We do not have a bug bounty program at this time, however, we do have a coordinated disclosure program. Please see the following page for additional information: https://www.""ClientABC"".com/security",e0b860d8-3b66-4ef3-9c55-dd523fdf45d5
20.1,Are all endpoint laptops that connect directly to production networks centrally managed?,No,We do not permit direct connections to our backend production environment.,e0f4d07f-bc93-457d-8654-43bee97da1bc
20.2,"Describe standard employee issued device security configuration/features. (Login Password, antimalware, Full Disk Encryption, Administrative Privileges, Firewall, Auto-lock, etc.)","All devices utilized for business purposes are required to have a screen lock and a set password. Also, all ""ClientABC"" managed workstations run up to date anti-virus and anti-malware software. Full disk encryption is enforced too. This is enforced via MDM for ""ClientABC""-owned devices and via compliance with our BYOD policy for personal devices not owned by ""ClientABC"".
",,49d63ceb-3402-46ab-8351-5d1466698e19
20.3,Does sensitive or private data ever reside on endpoint devices? How is this policy enforced?,No,"Our BYOD policy prohibits storing confidential data on mobile devices, this includes any data that our customers store in their  Clusters. Our Customer's data will reside in the cloud and not onsite.
",7e5aaa64-bca7-4422-8de8-8bc18cb1fe14
